country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Palau,198,198,198,198,198,209,216,213,213,216,220,227,253,205,198,209,216,216,220,224,224,224,230,236
Palestine,946,1040,865,1460,1370,1660,1350,1160,1280,2200,2740,2270,2320,2050,2090,2040,2250,2200,2440,2840,3010,3230,3190,3210
Panama,2940,4580,5600,5890,5610,5720,6950,5810,6080,5720,6750,7370,7200,7320,8430,9080,9960,9780,11400,10900,10900,10500,10400,10900
Papua New Guinea,2060,2190,2580,2860,2450,2670,3210,3490,3950,4490,4390,4310,6120,4800,5090,4660,5230,4980,5160,5780,7380,7440,7590,7840
Paraguay,3940,3720,4130,4390,4380,3610,3700,3860,4030,4060,3780,3910,4040,4280,4540,5030,5200,5180,5180,5460,6060,7160,7180,7440
Peru,23700,24200,27300,27600,29200,30100,27000,27000,26100,31600,36800,28300,34600,40700,51200,57200,49000,54200,45700,50200,51600,56400,52700,55600
Philippines,60000,61300,70100,68300,68200,72400,70400,70200,70300,72800,73300,66600,70800,77400,76600,83000,83800,88500,95900,102000,114000,119000,131000,135000
Poland,363000,377000,368000,339000,329000,318000,315000,307000,320000,324000,323000,336000,336000,329000,316000,334000,333000,326000,322000,309000,313000,323000,337000,344000
Portugal,54900,52200,55200,59700,67400,66200,65800,69700,64500,67300,69600,64900,62400,60000,57200,53000,51800,50000,48200,48000,52200,50400,54700,51000
Qatar,31700,32200,37400,32300,31300,34600,41200,40700,41300,42700,50700,63200,63000,64300,68700,72000,79700,93300,84200,106000,106000,102000,108000,106000
Romania,127000,130000,123000,108000,90800,95500,100000,102000,105000,104000,103000,105000,107000,105000,87700,84100,89800,86600,77200,77600,77800,75900,75100,74100
Russia,1610000,1580000,1480000,1460000,1490000,1470000,1510000,1500000,1530000,1530000,1550000,1610000,1610000,1640000,1530000,1610000,1670000,1680000,1620000,1620000,1620000,1620000,1650000,1710000
Rwanda,454,465,482,482,503,520,522,520,509,516,515,515,543,528,559,574,648,719,783,813,927,1050,1090,1120
Samoa,117,125,128,132,136,143,147,147,154,150,161,165,172,180,187,187,202,198,198,209,235,246,252,259
Sao Tome and Principe,47.7,47.7,47.7,47.7,47.7,47.7,51.3,58.7,66,73.3,77,84.3,84.3,84.3,91.7,99,103,114,114,114,114,121,121,124
Saudi Arabia,235000,258000,216000,207000,226000,297000,297000,326000,327000,395000,396000,432000,387000,433000,466000,518000,498000,564000,541000,602000,621000,632000,634000,622000
Senegal,3430,3670,3180,3340,3610,3810,4180,4350,4810,4990,5540,4430,4830,4740,4350,7290,7830,7370,7870,8830,10100,10400,11300,11700
Serbia,39200,45900,49300,51900,35800,45000,49300,52200,55800,60300,51700,60900,59700,51700,45900,45700,49000,43800,44600,37200,43800,45100,45700,45500
Seychelles,198,235,341,433,510,572,634,539,550,737,689,733,642,693,524,444,326,422,330,488,491,605,637,656
Sierra Leone,374,425,400,396,378,389,513,535,568,554,462,616,517,535,535,576,744,862,1030,1140,906,931,1040,1080
Singapore,41900,49400,58100,48400,49900,48900,49500,47200,31100,28500,30400,30800,19900,36100,58600,58300,46800,50000,56100,56600,61500,37500,40600,40900
Slovak Republic,44300,44200,44300,44000,43200,41300,43400,42100,42400,42900,42900,42600,41000,41400,37700,38500,38100,36000,35600,33700,34500,34900,36100,36100
Slovenia,15300,15900,16300,16000,15300,15500,16400,16500,16300,16700,17000,17200,17300,18200,16300,16400,16400,15800,15200,13500,13600,14400,14300,14400
Solomon Islands,143,143,143,143,154,154,158,158,161,161,161,165,180,180,180,187,183,183,194,194,191,169,173,178
Somalia,588,568,539,513,491,480,502,587,594,594,594,594,609,601,598,612,612,609,631,631,631,645,680,699
South Africa,362000,364000,386000,378000,375000,379000,372000,357000,405000,449000,416000,447000,465000,495000,503000,469000,476000,463000,458000,483000,463000,475000,463000,468000
South Korea,374000,402000,428000,364000,399000,446000,449000,464000,463000,479000,460000,466000,494000,506000,507000,566000,589000,584000,592000,587000,596000,618000,641000,659000
South Sudan,358,369,452,391,424,461,531,677,756,955,915,1000,1180,1240,1300,1330,1300,1330,1450,1540,1940,1730,1820,1870
Spain,267000,255000,267000,276000,299000,311000,313000,333000,337000,354000,368000,360000,368000,336000,297000,283000,284000,279000,252000,255000,271000,261000,275000,268000
Sri Lanka,5820,6980,7530,7740,8520,10100,10300,11000,11000,12200,11900,11800,12200,12000,13000,13100,14900,15800,14700,17700,19800,23000,24500,23400
St. Kitts and Nevis,128,132,143,150,161,172,176,198,198,213,198,202,216,216,224,220,231,220,224,231,235,238,240,242
St. Lucia,308,323,304,293,334,348,348,290,359,356,367,367,385,396,385,403,407,407,407,407,411,414,418,421
St. Vincent and the Grenadines,128,132,132,161,165,147,180,187,198,220,220,220,227,227,312,220,198,253,209,220,220,220,222,224
Sudan,3900,4030,4940,4290,4650,5060,5820,7420,8290,10500,10000,11000,12900,13600,14200,14400,14000,14200,15100,15500,19400,19600,20500,21100
Suriname,2060,2080,2110,2110,2120,2190,2370,1560,1540,1560,1590,1740,1760,1940,2000,2400,1800,2250,2090,2230,1710,1720,1720,1790
Sweden,59200,63200,58100,58700,55900,54700,55700,56600,57200,56500,53800,53700,52800,50700,47100,52900,48900,46400,44800,43200,43100,42600,42100,41100
Switzerland,43400,44100,43100,44600,44500,43600,45100,43500,44700,45300,45800,45400,43400,44700,43600,45100,41000,42300,43200,39300,38800,39200,38200,36900
Syria,41200,42400,45400,49800,51800,50500,48200,38500,53600,50400,49900,52900,65800,66900,61600,60800,56200,43800,35800,30100,28700,28500,28400,28300
Tajikistan,2440,2820,2150,2500,2520,2230,2290,1870,2060,2550,2420,2640,3210,2880,2430,2510,2320,2910,2870,4500,4850,5160,5160,5490
Tanzania,2440,2530,2830,2480,2460,2570,3040,3490,3690,4240,5360,5880,5720,5940,5700,6850,7810,9250,10900,11300,12600,11600,12100,12500
Thailand,157000,174000,179000,159000,166000,171000,183000,192000,203000,219000,225000,228000,231000,228000,243000,257000,254000,270000,284000,278000,281000,281000,285000,288000
Timor-Leste,,,,,,,,161,161,176,176,180,183,202,227,235,246,293,444,513,502,495,508,522
Togo,1180,1270,880,1290,1850,1330,1160,1320,1810,1750,1720,1500,1520,1520,2740,2600,2510,2220,2140,2180,2700,3070,3320,3420
Tonga,95.3,77,99,88,110,95.3,88,103,117,110,114,128,114,121,132,117,103,106,114,114,121,128,132,135
Trinidad and Tobago,17000,20500,18300,19100,22500,23800,26300,28600,31900,33400,38100,42600,45400,44300,44800,47800,46800,45300,46400,46200,46200,43800,43500,43500
Tunisia,15600,16600,16800,17800,18100,19700,20600,20600,20900,21900,22300,22600,23700,24400,24300,27100,25500,26300,26900,27900,29300,29000,30500,31600
Turkey,181000,200000,212000,212000,208000,230000,214000,221000,237000,245000,264000,282000,313000,310000,316000,315000,340000,354000,346000,362000,382000,402000,426000,429000
Turkmenistan,34000,30600,30600,32100,37600,37500,38000,39900,44600,46500,48300,49400,55900,56700,50200,57200,62200,64600,66400,68100,70300,70200,73200,80000
Tuvalu,7.33,7.33,7.33,7.33,7.33,7.33,7.33,11,11,11,11,7.33,11,11,11,7.33,7.33,11,11,11,11,11,11.3,11.6
Uganda,934,1040,1090,1240,1290,1400,1470,1510,1580,1680,2110,2470,2820,3050,3250,3770,4070,3880,4190,4540,5080,5400,5640,5780
Ukraine,390000,352000,341000,329000,298000,286000,304000,296000,307000,311000,313000,333000,337000,326000,278000,294000,308000,304000,298000,258000,224000,234000,223000,225000
United Arab Emirates,70100,72800,73200,80700,77600,112000,101000,83800,106000,112000,115000,122000,133000,154000,166000,156000,169000,218000,218000,223000,192000,203000,200000,206000
United Kingdom,567000,589000,563000,568000,561000,568000,576000,561000,572000,573000,570000,568000,559000,545000,494000,512000,470000,488000,478000,439000,423000,400000,388000,379000
United States,5440000,5630000,5710000,5750000,5830000,6000000,5900000,5950000,6000000,6110000,6140000,6060000,6130000,5930000,5500000,5700000,5580000,5380000,5530000,5580000,5430000,5310000,5280000,5420000
